风晴雪          青丝银栉别样梳，天付婆娑入画图。
方兰生          嫏嬛久觅紫云乡，半枕清风鹤梦长。
阿阮            楚梦沉醉朝复暮，清歌远上巫山低。
沈曦            梦呓短歌消长夜，吉光片羽碎琉璃。
巽芳            芳华如梦佳期逝，蓦然回首柔情旧。
襄铃            额前未肯点胭脂，懒把相思细细知。
乐无异          杨柳风前歌玉树，黄金堂下卧麒麟。
谢衣            花落庭前浮图现，人间尽是晚晴天。
禺期            一世仙身为剑痴，晗光蕴灵万事知。
悭臾            东海祖洲识命魂，不周山下多古意。
红玉            九重环佩艳琳琅，一段红绡旖旎长。
尹千觞          江湖肝胆风波促，万里云山醉梦真。
闻人羽          朱颜流落东风里，月满千山倚筑歌。
欧阳少恭        风前独坐弄琴筝，明灭蓬山九万程。
清和真人        明哲通达出太华，山河秀丽诗酒花。
夏夷则          八极乘龙巡碧落，一襟风雪载昆仑。
百里屠苏        古剑铁衣映清辉，百劫阎浮一念微。
沈夜            时烬未烬陷永夜，归期无期月寒沉。
陵越            剑意御风凌山月，往事伴烛映霜雪。
华月            元月夜下箜篌引，不负相思不负君。
琴川            杏花微雨沾衣湿，陌路少年檐下识。
长安            众人揽胜逐朝霞，游子笑折一枝花。
天墉城          昆仑山巅修至道，剑御四野灵空明。
百草谷          横戈盘马草如茵，介胄执枹郁成阴。
巫山            风飖轻举降暮雨，碧峭绵延匿神女。
蓬莱            青阶似洗驻岁华，蓬山曲径情无暇。
青玉坛          试心桥上分阴阳，魂兮魄兮难辨章。
紫榕林          湖天春色归路迷，幼狐梦醒眼迷离。
榣山            沧海桑田新几度，月明还照旧容颜。
太华山          巍巍云巅鹤长唳，亭亭尘外山色霁。
幽都            娲皇故里聚先贤，风雨如晦葬龙渊。
流月城          月冷千山孤城悬，神木凋零远人间。
昭明            星屑玉魄结剑还，光耀四野止寒夜。
露草            天地灵韵凝霜骨，剑心支离相思苦。
凤来            神识邈邈拂丝弦，人间离散月又圆。
黑龙鳞片        浮云一别未虚掷，光阴荏冉故人来。
古剑焚寂        琴心剑魄今何在，留见星虹贯九天。
古剑红玉        枫落龙渊宿此间，青锋不再伴恨眠。
青玉司南佩      曲终人散心不悔，一魂一魄永相随。
焦炭            天地为炉生妙物，阴阳为炭造化功。
通天之器        天道浩瀚难穷尽，若涉渊水正道心。
无名之剑        上古威仪难复现，敛光为华唤明心。
金麒麟          江上熏风鸳鸯游，两小无猜赠麒麟。
兔子抱枕        长长折耳护稚童，圆圆黑眸沐春风。
古剑晗光        传世利刃寒光荧，千秋凡铁宿魂灵。
百胜刀          白刃出鞘饮煞气，世事斗转换乾坤。
忘川            寂灭幻断前缘尽，旋刺斩决君子心。
华月箜篌        凝音织梦倚阑珊，清商抚羽月沉沦。
桃花谷          花开花落蜂蝶舞，日出日落泉叮咚。
静水湖          水天一色洗尘嚣，帘栊垂落与神交。
安陆            醉白楼旁杏林黄，岁首辞君别无恙。
神女墓          神农座下披华藻，行云带雨香殒早。
北洛            璞玉浑金啸天地，冷铁戍梦荡山平。
云无月          既出丹渊交光夜，凝雾点漆逸流萤。
岑缨            豆火薪传笑嫣然，书帷漫卷睛灵秀。
姬轩辕          天何所沓梦归崖，日月入怀星分阵。
缙云            岁付征鸿挥斗柄，剑破寰宇卫荒服。
巫炤            空阶拥璇献沉壁，枉消虚过碎玉衡。
司危            韶颜稚齿芳菲逝，朱轮惘惘笑移烛。
玄戈&霓商       惊风奔雷骋四野，重帘暮深落星沉。
嫘祖            掷镜秉钺自光辉，孤城折冲影巍巍。
刘兄            青丘尘中犹独醒，夕寐宵兴叙多情。
鄢陵            折花掷果麹盈车，华红叠翠醉春晖。
天鹿城          霄虹纹彩九千仞，莫见阙角倚碧海。
西陵            鸢飞丘墟千嶂叠，狼烟横亘背花烬。
有熊            固城筑基共拾火，绯云漫卷覆濠墙。
白梦泽          旧时泽畔刺荆心，云散雾始咏初年。
巫之国          寂寂无声伴永生，堭堭空音歌未央。
鼎湖            神舆行处凝涧壑，帐殿倚云破冰枝。
赤水            未闻龙啸绝凌云，残灯耿夜拾遗珠。
阳平            谷旦净扫立修竹，翠园燕语暖春光。
无名之地        生生死死漠无声，影影绰绰空载魂。
太岁            照之以日月，经之以星辰，纪之以四时，要之以太岁。
原天柿          结庐莲境持家计，饱卧汤泉乡音齐。
画板            聿画三界行九州，千秋入墨成陈迹。
半魂莲          浮生聚散梦连陇，天星摇落尽成空。
玉梳            旧梦如昨梳叠云，故国凋零意难平。
梦魂枝          切切以旧梦为恨，点点以残魂为引。
青丘尘中记      闲情偶寄旦付梓，一语成谶结狐缘。
天鹿            披荆斩棘炫明光，护城悬阵却群魔。
馋鸡            北溟鲲游翻海震，袖藏禅机翥天飞。
红叶湖          野睛露染狐呜咿，红塘落叶榕须摇。
捐毒            玉门关外祭坛成，浑邪葬处沙倾城。
阿翔            一团冰雪含奇质，万里云霄豁俊眸。
风晴雪·凤羲     好向寒节报花信，春风一脉动幽都。
方兰生·浮灯     六艺四书全抛却，一身尽染素心香。
阿阮·神女       云垂水镜参差影，十二峰头月欲西。
沈曦·魔化       稚童新衫犹未裁，一点红痕一世哀。
巽芳·寂桐       妾心声声唤情郎，天涯处处皆苍茫。
襄铃·泉边掬影   谁家女儿娇，垂发尚年少，树下抱香眠，泉边掬影笑。
乐无异·捐毒     长安年少重游侠，抱酒弹铗杏花阴。
谢衣·初七       霜刃初试驱长夜，破云开天相决绝。
禺期·无名       贤者无名入神识，一片丹心报苍生。
悭臾·水虺       榣山水湄遇长琴，通天彻地为知音。
红玉·道服       霜雪凝精神，桃花铸肌骨，还报一寸心，愿同尘与土。
尹千觞·巫咸     漫举觥筹殷殷劝，石火光隙寄此身。
闻人羽·闺秀     塞雪连城堕婆娑，云雕怒马走冰河。
欧阳少恭·蓬莱   偏有漏长惊永夜，梦魂又觉第几生。
清和真人·温留   赤血丹心照夙昔，殊途与归执道心。
夏夷则·太华     江山倦夜眠孤客，红堕沾衣冷血痕。
百里屠苏·天墉   许向长空倾碧血，由他业火寸心摧。
沈夜·紫微       天命难解此中局，神血护佑心魔曲。
陵越·掌门       任侠为道守仙门，见素抱朴未忘尘。
华月·魔化       戾天狂歌琴声啸，朔雪为刃止喧嚣。
风晴雪·绵羊     寿无金石固，随时爱景光，与君一执手，衣袖十年香。
方兰生·蓝鲲     庭中生嘉树，华叶自飘摇，温然发秀质，馥兰映琼瑶。
阿阮·山鬼       崔嵬未起逐风舞，羲和停云坠玉露。
乐无异·偃师     金刚力士舞灵木，墨意非攻定乾坤。
襄铃·熊猫       笑里秋千轻自语，背人斗草弄晴丝。
红玉·兔子       昔日匣中三尺水，曾与明月斗青霜。
尹千觞·大狗     久把江湖宿，落拓年复年，唤醪濯尘骨，钓月伴酒仙。
闻人羽·天罡     天罡夜枕绿沉枪，敌血尚温金甲凉。
夏夷则·鲛人     沧海遗珠鲛人泪，易骨托生帝王脉。
百里屠苏·黑猫   眼底无故人，世事冷如铁，谁与长相约，眉间刺新血。
北洛·冕服       阵云循涌炎风震，清辉灼烁万物生。
云无月·华裳     清眸剪沧海，罗袂舞桑田，红尘本无意，重逢竟有期。
岑缨·劲装       江天绘幅远无垠，一页春秋一叶舟。
姬轩辕·绣春     乾坤承转昔年事，余音茫茫赠熏风。
北洛·辟邪       微茫窥无尽，垂辉映中天，杂音没金足，狂啸裂穹宇。
云无月·魇魅     华翎一展云蔽月，敢以长歌魇鬼神。
岑缨·菡萏       彤霞然昙静，云渊展鸿图，少年相谈笑，辫发垂肩行。
姬轩辕·玄鹿     天意多无据，人间寄多情，岁华逢故交，崆峒惜旦暮。
缙云·卸甲       玄甲浸苍烟，皓首远人间，十载常独坐，半身是离绝。
巫炤·吞恨       寒灯一芯尽，角楼囚霜星，独站群崖底，风物皆无情。
司危·嫣然       垂髫粉腮犹带笑，不见城深春易老。
玄戈&霓商·流光  朔风凛凛掠尘去，故人凭栏晓天寒。
嫘祖·梦中人     昔年共饮一枝春，今朝唯余梦中人。
刘兄·比木       寒渊梦远几时真，但将笔砚换裙钗。
